full_name,username,password,class,arm
Adewale Babatunde Johnson,adewale.johnson,Pass@2026,JSS1,A
Chidinma Grace Okonkwo,chidinma.okonkwo,Pass@2026,JSS1,A
Emeka Chukwuemeka Eze,emeka.eze,Pass@2026,JSS1,B
Fatimah Abubakar Mohammed,fatimah.mohammed,Pass@2026,JSS1,B
Oluwaseun Temitope Adeyemi,oluwaseun.adeyemi,Pass@2026,JSS1,C
Blessing Ngozi Nwosu,blessing.nwosu,Pass@2026,JSS2,A
Abdulrahman Yusuf Musa,abdulrahman.musa,Pass@2026,JSS2,A
Taiwo Oluwakemi Adesanya,taiwo.adesanya,Pass@2026,JSS2,B
Oghenekaro Festus Ovie,oghenekaro.ovie,Pass@2026,JSS2,B
Aisha Bello Usman,aisha.usman,Pass@2026,JSS2,C
Chukwuebuka Michael Obi,chukwuebuka.obi,Pass@2026,JSS3,A
Kemi Adunola Fashola,kemi.fashola,Pass@2026,JSS3,A
Ibrahim Suleiman Danladi,ibrahim.danladi,Pass@2026,JSS3,B
Nneka Philomena Obiora,nneka.obiora,Pass@2026,JSS3,B
Kayode Adebayo Olabisi,kayode.olabisi,Pass@2026,JSS3,C
Aminat Folake Salami,aminat.salami,Pass@2026,SS1,A
Chidi Emmanuel Nkemdirim,chidi.nkemdirim,Pass@2026,SS1,A
Toluwani Grace Adekunle,toluwani.adekunle,Pass@2026,SS1,B
Musa Abdullahi Garba,musa.garba,Pass@2026,SS1,B
Priscilla Nkechi Amadi,priscilla.amadi,Pass@2026,SS1,C
Rotimi Oluwafemi Soyinka,rotimi.soyinka,Pass@2026,SS2,A
Zainab Hadiza Aliyu,zainab.aliyu,Pass@2026,SS2,A
Obinna Ikechukwu Okafor,obinna.okafor,Pass@2026,SS2,B
Yetunde Bolanle Balogun,yetunde.balogun,Pass@2026,SS2,B
Tunde Gbenga Bakare,tunde.bakare,Pass@2026,SS2,C
Adaeze Chioma Igwe,adaeze.igwe,Pass@2026,SS3,A
Lawal Nuhu Abdulkadir,lawal.abdulkadir,Pass@2026,SS3,A
Sade Oluwabunmi Coker,sade.coker,Pass@2026,SS3,B
Nnamdi Tobechukwu Okeke,nnamdi.okeke,Pass@2026,SS3,B
Halima Yusuf Shehu,halima.shehu,Pass@2026,SS3,C
